Sample,Location,MFI,Antigen
S1,ETH,6026,PvCSS
S1,ETH,8271,PvCSS
S10,ETH,39,PvCSS
S10,ETH,48,PvCSS
S2,ETH,3807,PvCSS
S2,ETH,5240,PvCSS
S3,ETH,2210.5,PvCSS
S3,ETH,2914,PvCSS
S4,ETH,1232.5,PvCSS
S4,ETH,1739,PvCSS
S5,ETH,703,PvCSS
S5,ETH,931,PvCSS
S6,ETH,380.5,PvCSS
S6,ETH,542,PvCSS
S7,ETH,198,PvCSS
S7,ETH,298.5,PvCSS
S8,ETH,114,PvCSS
S8,ETH,164,PvCSS
S9,ETH,65,PvCSS
S9,ETH,85,PvCSS
S1,PNG,14729,PvCSS
S1,PNG,19648,PvCSS
S10,PNG,129,PvCSS
S10,PNG,374,PvCSS
S2,PNG,10660,PvCSS
S2,PNG,16862,PvCSS
S3,PNG,6882,PvCSS
S3,PNG,12835.5,PvCSS
S4,PNG,4798.5,PvCSS
S4,PNG,8927,PvCSS
S5,PNG,2642.5,PvCSS
S5,PNG,5939,PvCSS
S6,PNG,1548,PvCSS
S6,PNG,3411,PvCSS
S7,PNG,838,PvCSS
S7,PNG,2021.5,PvCSS
S8,PNG,457,PvCSS
S8,PNG,1218.5,PvCSS
S9,PNG,248,PvCSS
S9,PNG,673,PvCSS
S1,ETH,19381,EBP
S1,ETH,26445.5,EBP
S10,ETH,385,EBP
S10,ETH,1804,EBP
S2,ETH,16181,EBP
S2,ETH,24720,EBP
S3,ETH,12476,EBP
S3,ETH,23285,EBP
S4,ETH,9122.5,EBP
S4,ETH,21081,EBP
S5,ETH,6319,EBP
S5,ETH,15376.5,EBP
S6,ETH,3799,EBP
S6,ETH,11822,EBP
S7,ETH,2111,EBP
S7,ETH,7650,EBP
S8,ETH,1250,EBP
S8,ETH,5617,EBP
S9,ETH,738,EBP
S9,ETH,3076,EBP
S1,PNG,23306,EBP
S1,PNG,19381,EBP
S10,PNG,808,EBP
S10,PNG,385,EBP
S2,PNG,19722,EBP
S2,PNG,16181,EBP
S3,PNG,15564,EBP
S3,PNG,12476,EBP
S4,PNG,12840,EBP
S4,PNG,9122.5,EBP
S5,PNG,9304.5,EBP
S5,PNG,6319,EBP
S6,PNG,5987,EBP
S6,PNG,3799,EBP
S7,PNG,3750,EBP
S7,PNG,2111,EBP
S8,PNG,2186,EBP
S8,PNG,1250,EBP
S9,PNG,1391,EBP
S9,PNG,738,EBP
S1,ETH,15185,LF005
S1,ETH,19125,LF005
S10,ETH,188,LF005
S10,ETH,272,LF005
S2,ETH,12344.5,LF005
S2,ETH,15045,LF005
S3,ETH,8734,LF005
S3,ETH,11334,LF005
S4,ETH,5778,LF005
S4,ETH,7776.5,LF005
S5,ETH,3342,LF005
S5,ETH,4848,LF005
S6,ETH,1966,LF005
S6,ETH,2807,LF005
S7,ETH,1115,LF005
S7,ETH,1656,LF005
S8,ETH,645,LF005
S8,ETH,931,LF005
S9,ETH,360,LF005
S9,ETH,487,LF005
S1,PNG,12810,LF005
S1,PNG,8104.5,LF005
S10,PNG,161,LF005
S10,PNG,92,LF005
S2,PNG,9905,LF005
S2,PNG,6491,LF005
S3,PNG,6249.5,LF005
S3,PNG,4827.5,LF005
S4,PNG,4415.5,LF005
S4,PNG,2734,LF005
S5,PNG,2424,LF005
S5,PNG,1659,LF005
S6,PNG,1469,LF005
S6,PNG,965,LF005
S7,PNG,824.5,LF005
S7,PNG,529,LF005
